id,status ,arrival_at,cost,overhead_cost,discount,acquisition_costs
5589,Impossibility,9999-12-31,0,NULL,NULL,0
136925,Ready,2025-12-04,0,NULL,NULL,0
136926,Ready,2025-12-04,0,NULL,NULL,0
136927,Ready,2025-12-04,0,NULL,NULL,0
136928,Ready,2025-12-04,0,NULL,NULL,0
136929,Ready,2025-12-04,0,NULL,NULL,0
136930,Ready,2025-12-04,0,NULL,NULL,0
136931,Ready,2025-12-04,0,NULL,NULL,0
136932,Ready,2025-12-04,0,NULL,NULL,0
143109,LendingToB,2025-08-25,27650,NULL,NULL,27650
143123,LendingToB,2025-06-25,10650,NULL,NULL,10650
149552,Lending,2025-03-04,14400,NULL,NULL,14400
149553,Lending,2025-03-17,13430,NULL,NULL,13430
149554,Recovery,2025-03-19,13660,NULL,NULL,13660
152833,LendingToB,2025-03-05,26400,NULL,NULL,26400
152834,Lending,2025-03-12,26400,NULL,NULL,26400
153530,Lending,2025-03-03,50400,NULL,NULL,50400
153531,Lending,2025-07-18,50400,NULL,NULL,50400
153539,Lending,2025-05-12,39060,NULL,NULL,39060
154223,Recovery,2025-03-21,47400,NULL,NULL,47400
154225,Recovery,2025-03-21,0,NULL,NULL,0
154869,Lending,2025-03-04,16900,NULL,NULL,16900
155173,Impossibility,2025-03-10,0,NULL,NULL,0
157919,Lending,2025-09-09,29800,0,0,29800
158222,Lending,2025-05-15,16900,NULL,NULL,16900
158693,Lending,2025-03-04,17400,NULL,NULL,17400
158694,LendingToB,2025-03-05,17400,NULL,NULL,17400
159342,Recovery,2025-03-10,50400,NULL,NULL,50400
160141,Lending,2025-03-10,16800,NULL,NULL,16800
166534,Recovery,2025-05-15,29800,NULL,NULL,29800
166559,LendingToB,2025-05-08,25300,NULL,NULL,25300
167891,Lending,2025-03-17,0,NULL,NULL,0
167894,Lending,2025-03-06,0,NULL,NULL,0
167895,Lending,2025-03-06,46322,NULL,NULL,46322
167896,Lending,2025-03-06,46322,NULL,NULL,46322
167986,Lending,2025-05-15,40000,NULL,NULL,40000
168136,Lending,2025-05-12,0,NULL,NULL,0
168137,LendingToB,2025-05-12,0,NULL,NULL,0
168540,NotDemanded,9999-12-31,15480,NULL,NULL,15480
168541,NotDemanded,9999-12-31,15480,NULL,NULL,15480
168623,Lending,2025-03-14,23940,NULL,NULL,23940
168624,Lending,2025-04-03,211680,NULL,NULL,211680
168711,Lending,2025-03-10,18480,NULL,NULL,18480
168742,Recovery,2025-05-02,47400,NULL,NULL,47400
168743,Recovery,2025-05-02,0,NULL,NULL,0
168744,Lending,2025-05-23,25300,NULL,NULL,25300
168981,Lending,2025-03-21,24000,NULL,NULL,24000
169086,Lending,2025-03-07,21000,NULL,NULL,21000
169445,LendingToB,2025-03-12,9600,NULL,NULL,9600
169451,NotDemanded,9999-12-31,15000,NULL,NULL,15000
169452,NotDemanded,9999-12-31,15000,NULL,NULL,15000
169453,Ready,2025-05-22,15000,NULL,NULL,15000
169454,LendingToB,2025-05-22,15000,NULL,NULL,15000
169455,Lending,2025-04-03,26400,NULL,NULL,26400
169457,NotDemanded,9999-12-31,26400,NULL,NULL,26400
169458,NotDemanded,9999-12-31,26400,NULL,NULL,26400
169459,Impossibility,2025-05-22,26400,NULL,NULL,26400
169460,Ready,2025-05-22,26400,NULL,NULL,26400
169463,Lending,2025-03-17,35670,NULL,NULL,35670
169715,LendingToB,2025-04-11,17100,NULL,NULL,17100
169723,Lending,2025-03-07,17400,NULL,NULL,17400
170195,LendingToB,2025-06-06,16230,NULL,NULL,16230
170314,NotDemanded,9999-12-31,0,NULL,NULL,0
170316,NotDemanded,9999-12-31,0,NULL,NULL,0
170317,NotDemanded,9999-12-31,0,NULL,NULL,0
171572,Lending,2025-03-18,53990,NULL,NULL,53990
171573,Lending,2025-03-06,0,NULL,NULL,0
171574,Lending,2025-03-17,0,NULL,NULL,0
171585,Lending,2025-03-18,0,NULL,NULL,0
171636,NotDemanded,9999-12-31,47400,NULL,NULL,47400
171637,NotDemanded,9999-12-31,47400,NULL,NULL,47400
171650,Lending,2025-06-19,34200,NULL,NULL,34200
171652,Lending,2025-08-20,34200,NULL,NULL,34200
171659,Lending,2025-04-11,59100,NULL,NULL,59100
171660,LendingToB,2025-05-30,59100,NULL,NULL,59100
171702,LendingToB,2025-03-04,25800,NULL,NULL,25800
171704,Lending,2025-03-05,10500,NULL,NULL,10500
171726,Recovery,2025-04-28,36000,NULL,NULL,36000
171730,Recovery,2025-03-03,0,NULL,NULL,0
171731,Lending,2025-03-14,6000,NULL,NULL,6000
171768,LendingToB,2025-03-24,26500,NULL,NULL,26500
171770,LendingToB,2025-03-12,42420,NULL,NULL,42420
171830,Lending,2025-03-21,36070,NULL,NULL,36070
171846,Lending,2025-10-20,6840,0,0,6840
171847,Lending,2025-10-29,6840,0,0,6840
171848,Lending,2025-04-14,69300,NULL,NULL,69300
171849,Lending,2025-04-25,69300,NULL,NULL,69300
171928,Impossibility,2025-04-04,32550,NULL,NULL,32550
171929,Recovery,2025-04-04,32550,NULL,NULL,32550
171930,Impossibility,2025-04-04,0,NULL,NULL,0
171931,Recovery,2025-04-04,0,NULL,NULL,0
171996,Lending,2025-03-24,0,NULL,NULL,0
171999,Lending,2025-06-09,21000,NULL,NULL,21000
172034,Lending,2025-03-03,21700,NULL,NULL,21700
172208,Lending,2025-03-14,46200,NULL,NULL,46200
172210,Lending,2025-03-17,45640,NULL,NULL,45640
172211,Lending,2025-03-25,55230,NULL,NULL,55230
172214,Recovery,2025-04-09,28000,NULL,NULL,28000
172215,Recovery,2025-04-09,0,NULL,NULL,0
172216,Recovery,2025-04-09,0,NULL,NULL,0
172217,LendingToB,2025-05-12,39060,NULL,NULL,39060
172241,Lending,2025-03-18,0,NULL,NULL,0
172242,Lending,2025-03-24,0,NULL,NULL,0
172243,Lending,2025-03-24,0,NULL,NULL,0
172382,NotDemanded,9999-12-31,0,NULL,NULL,0
172808,Recovery,2025-04-04,32550,NULL,NULL,32550
172809,LendingToB,2025-04-04,32550,NULL,NULL,32550
172810,LendingToB,2025-04-04,0,NULL,NULL,0
172811,Recovery,2025-04-04,0,NULL,NULL,0
172818,Lending,2025-05-30,16650,NULL,NULL,16650
172912,Lending,2025-03-12,15600,NULL,NULL,15600
172913,Lending,2025-03-12,15600,NULL,NULL,15600
172914,Recovery,2025-03-14,14550,NULL,NULL,14550
172920,Lending,2025-03-12,15600,NULL,NULL,15600
172921,Lending,2025-03-12,15600,NULL,NULL,15600
172922,Lending,2025-03-17,15310,NULL,NULL,15310
172923,Lending,2025-03-17,15830,NULL,NULL,15830
173151,LendingToB,2025-03-04,16800,NULL,NULL,16800
173171,Lending,2025-03-03,32000,NULL,NULL,32000
173172,Lending,2025-03-24,30520,NULL,NULL,30520
173173,Ready,2025-03-03,0,NULL,NULL,0
173174,Lending,2025-03-24,0,NULL,NULL,0
173175,Recovery,2025-04-28,0,NULL,NULL,0
173204,LendingToB,2025-05-22,24600,NULL,NULL,24600
173314,Recovery,2025-03-10,232000,NULL,NULL,232000
173315,Ready,2025-03-10,56000,NULL,NULL,56000
173352,Lending,2025-03-04,31500,NULL,NULL,31500
173367,LendingToB,2025-03-10,36450,NULL,NULL,36450
173641,LendingToB,2025-04-24,11650,NULL,NULL,11650
173643,Lending,2025-04-10,6000,NULL,NULL,6000
174352,Lending,2025-03-04,25800,NULL,NULL,25800
174449,Lending,2025-03-03,41300,NULL,NULL,41300
174459,Lending,2025-05-13,46200,NULL,NULL,46200
174460,LendingToB,2025-03-07,30000,NULL,NULL,30000
174461,Lending,2025-03-14,28310,NULL,NULL,28310
174462,Lending,2025-03-04,49300,NULL,NULL,49300
174464,Lending,2025-04-03,25200,NULL,NULL,25200
174465,Lending,2025-04-23,25200,NULL,NULL,25200
174468,Lending,2025-03-04,30600,NULL,NULL,30600
174469,Lending,2025-03-12,30600,NULL,NULL,30600
174474,Lending,2025-04-16,25200,NULL,NULL,25200
174482,Lending,2025-03-06,48951,NULL,NULL,48951
174483,Lending,2025-03-06,48951,NULL,NULL,48951
174514,Lending,2025-03-03,41650,NULL,NULL,41650
174543,Lending,2025-03-12,41300,NULL,NULL,41300
174544,LendingToB,2025-04-30,41300,NULL,NULL,41300
174704,Lending,2025-03-06,69620,NULL,NULL,69620
174705,Lending,2025-03-06,0,NULL,NULL,0
174807,Recovery,2025-05-14,16800,NULL,NULL,16800
174817,LendingToB,2025-03-03,0,NULL,NULL,0
174818,Lending,2025-03-03,0,NULL,NULL,0
174819,Lending,2025-03-03,0,NULL,NULL,0
174820,Lending,2025-03-03,0,NULL,NULL,0
174821,Recovery,2025-03-03,34000,NULL,NULL,34000
174822,Lending,2025-03-03,34000,NULL,NULL,34000
174841,Lending,2025-06-16,41300,NULL,NULL,41300
174843,Lending,2025-03-05,18000,NULL,NULL,18000
174844,Lending,2025-03-05,18000,NULL,NULL,18000
174946,Lending,2025-03-05,39600,NULL,NULL,39600
174953,LendingToB,2025-04-23,50400,NULL,NULL,50400
174966,Lending,2025-03-18,44299,NULL,NULL,44299
174967,Lending,2025-03-18,0,NULL,NULL,0
175143,Lending,2025-03-31,0,NULL,NULL,0
175144,Lending,2025-03-31,0,NULL,NULL,0
175145,Lending,2025-03-31,0,NULL,NULL,0
175146,Recovery,2025-03-31,0,NULL,NULL,0
175147,Lending,2025-03-31,0,NULL,NULL,0
175148,Lending,2025-03-31,0,NULL,NULL,0
175149,Lending,2025-03-31,36240,NULL,NULL,36240
175150,Lending,2025-03-31,36240,NULL,NULL,36240
175151,Lending,2025-03-31,36640,NULL,NULL,36640
175158,Recovery,2025-03-03,0,NULL,NULL,0
175159,Lending,2025-03-03,0,NULL,NULL,0
175160,Lending,2025-03-03,0,NULL,NULL,0
175161,Lending,2025-03-03,0,NULL,NULL,0
175162,Lending,2025-03-03,30000,NULL,NULL,30000
175163,Lending,2025-03-03,30000,NULL,NULL,30000
175192,Lending,2025-03-05,31500,NULL,NULL,31500
175361,Lending,2025-03-12,17400,NULL,NULL,17400
175712,LendingToB,2025-04-14,23700,NULL,NULL,23700
175715,Lending,2025-03-04,18000,NULL,NULL,18000
175716,Lending,2025-03-04,18000,NULL,NULL,18000
175996,LendingToB,2025-03-04,0,NULL,NULL,0
175997,LendingToB,2025-03-04,0,NULL,NULL,0
175998,LendingToB,2025-03-04,0,NULL,NULL,0
175999,LendingToB,2025-03-04,0,NULL,NULL,0
176000,LendingToB,2025-03-04,0,NULL,NULL,0
176001,LendingToB,2025-03-04,0,NULL,NULL,0
176002,LendingToB,2025-03-04,29400,NULL,NULL,29400
176003,LendingToB,2025-03-04,29400,NULL,NULL,29400
176004,LendingToB,2025-03-04,29400,NULL,NULL,29400
176005,LendingToB,2025-03-04,29400,NULL,NULL,29400
176006,LendingToB,2025-03-04,29400,NULL,NULL,29400
176007,LendingToB,2025-03-04,29400,NULL,NULL,29400
176020,Lending,2025-03-04,364,NULL,NULL,364
176028,Lending,2025-03-04,364,NULL,NULL,364
176029,Lending,2025-03-12,405,NULL,NULL,405
176030,Lending,2025-03-12,405,NULL,NULL,405
176031,Lending,2025-03-12,405,NULL,NULL,405
176038,Lending,2025-03-03,0,NULL,NULL,0
176039,Lending,2025-03-03,0,NULL,NULL,0
176040,Recovery,2025-03-03,0,NULL,NULL,0
176041,Impossibility,2025-03-03,0,NULL,NULL,0
176042,Lending,2025-03-03,27390,NULL,NULL,27390
176043,Lending,2025-03-03,27390,NULL,NULL,27390
176051,Impossibility,2025-03-05,41175,NULL,NULL,41175
176113,Lending,2025-03-04,39600,NULL,NULL,39600
176114,Lending,2025-03-12,39600,NULL,NULL,39600
176115,Lending,2025-03-03,21000,NULL,NULL,21000
176116,LendingToB,2025-05-12,21700,NULL,NULL,21700
176117,Ready,2025-04-23,21700,NULL,NULL,21700
176118,LendingToB,2025-09-02,21700,1300,0,23000
176382,Lending,2025-03-04,18000,NULL,NULL,18000
176383,Lending,2025-03-04,18000,NULL,NULL,18000
176384,Lending,2025-03-05,18000,NULL,NULL,18000
176385,Lending,2025-03-05,18000,NULL,NULL,18000
176386,LendingToB,2025-03-05,18000,NULL,NULL,18000
176387,LendingToB,2025-03-05,18000,NULL,NULL,18000
176388,Lending,2025-03-05,18000,NULL,NULL,18000
176389,Lending,2025-03-05,18000,NULL,NULL,18000
176400,Lending,2025-03-04,0,NULL,NULL,0
176405,Lending,2025-04-15,48640,NULL,NULL,48640
176406,Recovery,2025-04-23,48640,NULL,NULL,48640
176434,Lending,2025-05-23,22500,NULL,NULL,22500
176442,Lending,2025-03-14,35100,NULL,NULL,35100
176443,Lending,2025-05-23,35100,NULL,NULL,35100
176451,Lending,2025-03-05,38400,NULL,NULL,38400
176452,Lending,2025-05-29,38400,NULL,NULL,38400
176468,LendingToB,2025-03-05,10200,NULL,NULL,10200
176469,Lending,2025-03-12,10200,NULL,NULL,10200
176478,Recovery,2025-03-19,6810,NULL,NULL,6810
176479,LendingToB,2025-04-03,6525,NULL,NULL,6525
176494,Ready,2025-03-14,29226,NULL,NULL,29226
176496,Ready,2025-03-14,0,NULL,NULL,0
176503,Lending,2025-03-06,0,NULL,NULL,0
176504,Lending,2025-03-06,0,NULL,NULL,0
176514,LendingToB,2025-03-06,39600,NULL,NULL,39600
176515,LendingToB,2025-03-06,39600,NULL,NULL,39600
176516,LendingToB,2025-03-06,39600,NULL,NULL,39600
176519,LendingToB,2025-03-06,19000,NULL,NULL,19000
176520,LendingToB,2025-03-06,19000,NULL,NULL,19000
176521,LendingToB,2025-03-06,19000,NULL,NULL,19000
176522,LendingToB,2025-03-06,15500,NULL,NULL,15500
176523,LendingToB,2025-03-06,15500,NULL,NULL,15500
176524,LendingToB,2025-03-06,15500,NULL,NULL,15500
176525,LendingToB,2025-03-12,3704,NULL,NULL,3704
176526,LendingToB,2025-03-12,24276,NULL,NULL,24276
176527,LendingToB,2025-03-12,17000,NULL,NULL,17000
176528,LendingToB,2025-03-12,24450,NULL,NULL,24450
176529,LendingToB,2025-03-12,24450,NULL,NULL,24450
176530,LendingToB,2025-03-12,24450,NULL,NULL,24450
176531,LendingToB,2025-03-12,24450,NULL,NULL,24450
176532,LendingToB,2025-03-12,69490,NULL,NULL,69490
176533,LendingToB,2025-03-12,62470,NULL,NULL,62470
176536,Impossibility,2025-03-07,46234,NULL,NULL,46234
176537,Impossibility,2025-03-07,46234,NULL,NULL,46234
176538,LendingToB,2025-03-07,46234,NULL,NULL,46234
176542,LendingToB,2025-03-07,44164,NULL,NULL,44164
176543,LendingToB,2025-03-07,44164,NULL,NULL,44164
176544,LendingToB,2025-03-07,44164,NULL,NULL,44164
176545,LendingToB,2025-03-07,14400,NULL,NULL,14400
176546,LendingToB,2025-03-07,14400,NULL,NULL,14400
176547,LendingToB,2025-03-07,14400,NULL,NULL,14400
176548,LendingToB,2025-03-07,7740,NULL,NULL,7740
176549,LendingToB,2025-03-07,7740,NULL,NULL,7740
176550,LendingToB,2025-03-07,7740,NULL,NULL,7740
176551,LendingToB,2025-03-07,7740,NULL,NULL,7740
176552,LendingToB,2025-03-07,7740,NULL,NULL,7740
176553,LendingToB,2025-03-07,7740,NULL,NULL,7740
176554,LendingToB,2025-03-07,7740,NULL,NULL,7740
176555,LendingToB,2025-03-07,7740,NULL,NULL,7740
176556,LendingToB,2025-03-07,7740,NULL,NULL,7740
176557,LendingToB,2025-03-07,7740,NULL,NULL,7740
176558,LendingToB,2025-03-07,7740,NULL,NULL,7740
176559,LendingToB,2025-03-07,7740,NULL,NULL,7740
176560,LendingToB,2025-03-07,12000,NULL,NULL,12000
176561,LendingToB,2025-03-07,12000,NULL,NULL,12000
176562,LendingToB,2025-03-07,12000,NULL,NULL,12000
176563,LendingToB,2025-03-07,46873,NULL,NULL,46873
176564,LendingToB,2025-03-07,46873,NULL,NULL,46873
176565,Ready,2025-03-07,46873,NULL,NULL,46873
176566,LendingToB,2025-03-07,0,NULL,NULL,0
176567,LendingToB,2025-03-07,0,NULL,NULL,0
176568,LendingToB,2025-03-07,0,NULL,NULL,0
176569,LendingToB,2025-03-07,93056,NULL,NULL,93056
176570,Ready,2025-03-07,93056,NULL,NULL,93056
176571,LendingToB,2025-03-07,93056,NULL,NULL,93056
176572,LendingToB,2025-03-07,0,NULL,NULL,0
176573,LendingToB,2025-03-07,0,NULL,NULL,0
176574,Recovery,2025-03-07,0,NULL,NULL,0
176575,LendingToB,2025-03-07,15854,NULL,NULL,15854
176576,LendingToB,2025-03-07,15854,NULL,NULL,15854
176577,Ready,2025-03-07,15854,NULL,NULL,15854
176578,LendingToB,2025-03-07,15854,NULL,NULL,15854
176579,Ready,2025-03-07,15854,NULL,NULL,15854
176580,LendingToB,2025-03-07,15854,NULL,NULL,15854
176581,LendingToB,2025-03-07,15854,NULL,NULL,15854
176582,LendingToB,2025-03-07,15854,NULL,NULL,15854
176583,Ready,2025-03-07,15854,NULL,NULL,15854
176584,LendingToB,2025-03-07,15853,NULL,NULL,15853
176585,Ready,2025-03-07,15853,NULL,NULL,15853
176586,LendingToB,2025-03-07,15853,NULL,NULL,15853
